ip,org,country,asn,asn_country_code,asn_description
2.16.114.60,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.16.114.69,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.16.114.70,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.16.115.117,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.16.115.118,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.16.115.119,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.16.115.124,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.16.115.125,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.16.115.126,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.16.115.127,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.16.115.132,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.16.115.143,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.16.115.158,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.16.115.167,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.16.115.174,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.16.115.180,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.16.115.191,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.16.115.205,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.16.118.43,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.16.167.111,,None,,,
2.16.167.135,,None,,,
2.16.167.53,,None,,,
2.16.167.54,,None,,,
2.16.167.62,,None,,,
2.16.167.63,,None,,,
2.16.167.70,,None,,,
2.16.167.71,,None,,,
2.16.167.77,,None,,,
2.16.167.95,,None,,,
2.16.170.232,Akamai Technologies,DE,20940,EU,AKAMAI-ASN1 US
2.16.170.240,Akamai Technologies,DE,20940,EU,AKAMAI-ASN1 US
2.17.148.109,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.17.148.201,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.17.149.42,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.17.149.52,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.17.169.138,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.17.210.27,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.18.66.121,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.18.66.138,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.18.66.162,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.18.66.168,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.18.66.170,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.18.66.25,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.18.66.26,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.18.66.39,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.18.66.44,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.18.66.55,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.18.66.57,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.18.66.62,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.18.66.69,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.18.66.76,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.18.66.77,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.18.66.84,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.19.152.246,Akamai Technologies,None,16625,EU,AKAMAI-AS - Akamai Technologies Inc. US
2.20.202.106,Akamai Technologies,None,16625,EU,AKAMAI-AS - Akamai Technologies Inc. US
2.21.184.226,Akamai Technologies,None,20940,EU,AKAMAI-ASN1 US
2.22.102.135,Akamai Technologies,None,16625,EU,AKAMAI-AS - Akamai Technologies Inc. US
2.22.108.209,Akamai Technologies,GB,16625,EU,AKAMAI-AS - Akamai Technologies Inc. US
2.22.109.27,Akamai Technologies,None,16625,EU,AKAMAI-AS - Akamai Technologies Inc. US
2.22.109.32,Akamai Technologies,None,16625,EU,AKAMAI-AS - Akamai Technologies Inc. US
2.22.110.219,Akamai Technologies,GB,16625,EU,AKAMAI-AS - Akamai Technologies Inc. US
2.22.128.193,Akamai Technologies,None,16625,EU,AKAMAI-AS - Akamai Technologies Inc. US
2.22.128.97,Akamai Technologies,None,16625,EU,AKAMAI-AS - Akamai Technologies Inc. US
2.22.132.100,Akamai Technologies,None,16625,EU,AKAMAI-AS - Akamai Technologies Inc. US
