ip_src,ip_dst,srcport,dstport,tp_proto,data_proto,data_type,data_len,entropy,reason
192.168.20.142,8.8.8.8,59215,53,udp,dns,text,32,0.379099043599,info:dns
192.168.20.142,8.8.8.8,59215,53,udp,dns,text,32,0.392184174639,info:dns
8.8.8.8,192.168.20.142,53,59215,udp,dns,text,48,0.385169421415,info:dns
8.8.8.8,192.168.20.142,53,59215,udp,dns,text,60,0.459495076514,info:dns
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,40,0.427560210577,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,40,0.427560210577,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,226,0.635033765181,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,40,0.422842163688,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,226,0.635033765181,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,40,0.422842163688,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,90,0.579742964916,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,90,0.579742964916,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,361,0.674710093616,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,157,0.593253581451,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,39,0.418471330514,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,49,0.442482871113,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,178,0.61033592149,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,116,0.569125152573,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,361,0.674710093616,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,157,0.593253581451,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,39,0.418471330514,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,49,0.442482871113,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,178,0.61033592149,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,116,0.569125152573,info:
192.168.20.142,8.8.8.8,40522,53,udp,dns,text,47,0.480710813078,info:dns
8.8.8.8,192.168.20.142,53,40522,udp,dns,text,63,0.493981611705,info:dns
192.168.20.142,216.58.206.131,54567,443,udp,gquic,encrypted,1350,0.3981079682,info:gquic
192.168.20.142,216.58.206.131,54567,443,udp,gquic,encrypted,367,0.805904427972,info:gquic
216.58.206.131,192.168.20.142,443,54567,udp,gquic,encrypted,1350,0.860711787202,info:gquic
216.58.206.131,192.168.20.142,443,54567,udp,gquic,encrypted,31,0.48152109045,info:gquic
216.58.206.131,192.168.20.142,443,54567,udp,gquic,encrypted,100,0.685890350675,info:gquic
192.168.20.142,216.58.206.131,54567,443,udp,gquic,encrypted,41,0.52124062518,info:gquic
192.168.20.142,216.58.206.131,54567,443,udp,gquic,encrypted,28,0.44812031259,info:gquic
216.58.206.131,192.168.20.142,443,54567,udp,gquic,encrypted,20,0.390241011861,info:gquic
192.168.20.142,216.58.206.131,54567,443,udp,gquic,encrypted,28,0.493462847403,info:gquic
192.168.20.142,192.168.20.254,68,67,udp,bootp,text,356,0.368959291169,info:low entropy
192.168.20.254,192.168.20.142,67,68,udp,bootp,text,301,0.204484269458,info:low entropy
192.168.20.142,66.102.1.188,42943,5228,tcp,ssl,unknown,26,0.462852441389,info:
66.102.1.188,192.168.20.142,5228,42943,tcp,ssl,unknown,26,0.386974406875,info:
192.168.20.142,8.8.8.8,48604,53,udp,dns,text,32,0.379099043599,info:dns
192.168.20.142,8.8.8.8,48604,53,udp,dns,text,32,0.405006209721,info:dns
8.8.8.8,192.168.20.142,53,48604,udp,dns,text,48,0.385169421415,info:dns
8.8.8.8,192.168.20.142,53,48604,udp,dns,text,60,0.467361073356,info:dns
192.168.20.142,8.8.8.8,48793,53,udp,dns,text,47,0.472188694748,info:dns
8.8.8.8,192.168.20.142,53,48793,udp,dns,text,63,0.479540355335,info:dns
192.168.20.142,216.58.206.131,34122,443,udp,gquic,encrypted,1350,0.395827547313,info:gquic
192.168.20.142,216.58.206.131,34122,443,udp,gquic,encrypted,367,0.812704335479,info:gquic
216.58.206.131,192.168.20.142,443,34122,udp,gquic,encrypted,1350,0.860229014841,info:gquic
216.58.206.131,192.168.20.142,443,34122,udp,gquic,encrypted,31,0.493462847403,info:gquic
216.58.206.131,192.168.20.142,443,34122,udp,gquic,encrypted,100,0.661022403984,info:gquic
192.168.20.142,216.58.206.131,34122,443,udp,gquic,encrypted,41,0.549039677847,info:gquic
192.168.20.142,216.58.206.131,34122,443,udp,gquic,encrypted,28,0.488361324451,info:gquic
216.58.206.131,192.168.20.142,443,34122,udp,gquic,encrypted,20,0.43242895233,info:gquic
192.168.20.142,216.58.206.131,34122,443,udp,gquic,encrypted,28,0.49151725497,info:gquic
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,40,0.427560210577,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,226,0.635033765181,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,40,0.422842163688,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,90,0.579742964916,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,40,0.427560210577,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,226,0.635033765181,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,40,0.422842163688,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,90,0.579742964916,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,361,0.674710093616,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,157,0.593253581451,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,361,0.674710093616,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,157,0.593253581451,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,39,0.418471330514,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,49,0.442482871113,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,39,0.418471330514,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,49,0.442482871113,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,178,0.61033592149,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,116,0.569125152573,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,178,0.61033592149,info:
192.168.20.142,224.0.0.251,5353,5353,udp,mdns,unknown,116,0.569125152573,info:
192.168.20.142,8.8.8.8,39273,53,udp,dns,text,32,0.379099043599,info:dns
192.168.20.142,8.8.8.8,39273,53,udp,dns,text,32,0.392184174639,info:dns
8.8.8.8,192.168.20.142,53,39273,udp,dns,text,48,0.385169421415,info:dns
8.8.8.8,192.168.20.142,53,39273,udp,dns,text,60,0.459495076514,info:dns
192.168.20.142,8.8.8.8,37841,53,udp,dns,text,47,0.472188694748,info:dns
8.8.8.8,192.168.20.142,53,37841,udp,dns,text,63,0.486590981619,info:dns
192.168.20.142,216.58.206.131,33986,443,udp,gquic,encrypted,1350,0.395573629638,info:gquic
192.168.20.142,216.58.206.131,33986,443,udp,gquic,encrypted,367,0.795228204014,info:gquic
216.58.206.131,192.168.20.142,443,33986,udp,gquic,encrypted,1350,0.858017918136,info:gquic
216.58.206.131,192.168.20.142,443,33986,udp,gquic,encrypted,31,0.440205079543,info:gquic
216.58.206.131,192.168.20.142,443,33986,udp,gquic,encrypted,100,0.658594804966,info:gquic
192.168.20.142,216.58.206.131,33986,443,udp,gquic,encrypted,41,0.543706114072,info:gquic
192.168.20.142,216.58.206.131,33986,443,udp,gquic,encrypted,28,0.484375,info:gquic
216.58.206.131,192.168.20.142,443,33986,udp,gquic,encrypted,20,0.368462847403,info:gquic
192.168.20.142,216.58.206.131,33986,443,udp,gquic,encrypted,28,0.462554964768,info:gquic
192.168.20.142,66.102.1.188,42943,5228,tcp,ssl,unknown,26,0.4375,info:
66.102.1.188,192.168.20.142,5228,42943,tcp,ssl,unknown,26,0.48152109045,info:
216.58.213.74,192.168.20.142,443,41071,tcp,ssl,unknown,56,0.564799639587,info:
